code,company,last_update,count
003540,대신증권,2021-11-23,6380
003550,LG,2021-11-23,6380
003560,아이에이치큐,2021-11-23,6380
003570,SNT중공업,2021-11-23,6380
003580,넥스트사이언스,2021-11-23,6380
003610,방림,2021-11-23,6380
003620,쌍용자동차,2021-11-23,6380
003650,미창석유공업,2021-11-23,6380
003670,포스코케미칼,2021-11-23,4956
003680,한성기업,2021-11-23,6380
003690,코리안리,2021-11-23,6380
003720,삼영화학공업,2021-11-23,6380
003780,진양산업,2021-11-23,6379
003800,에이스침대,2021-11-23,5800
003830,대한화섬,2021-11-23,6380
003850,보령제약,2021-11-23,6380
003920,남양유업,2021-11-23,6380
003960,사조대림,2021-11-23,6380
004000,롯데정밀화학,2021-11-23,6380
004020,현대제철,2021-11-23,6380
004060,SG세계물산,2021-11-23,6380
004080,신흥,2021-11-23,6378
004090,한국석유공업,2021-11-23,6380
004100,태양금속공업,2021-11-23,6380
004140,동방,2021-11-23,6380
004150,한솔홀딩스,2021-11-23,6380
004170,신세계,2021-11-23,6380
004250,엔피씨,2021-11-23,6380
004270,남성,2021-11-23,6380
004310,현대약품,2021-11-23,6380
004360,세방,2021-11-23,6380
004370,농심,2021-11-23,6380
004380,삼익THK,2021-11-23,6380
004410,서울식품공업,2021-11-23,6380
004430,송원산업,2021-11-23,6380
004440,삼일씨엔에스,2021-11-23,1388
004450,삼화왕관,2021-11-23,6380
004490,세방전지,2021-11-23,6380
004540,깨끗한나라,2021-11-23,6380
004560,현대비앤지스틸,2021-11-23,6380
004590,한국가구,2021-11-23,5802
004650,창해에탄올,2021-11-23,1797
004690,삼천리,2021-11-23,6380
004700,조광피혁,2021-11-23,6380
004710,한솔테크닉스,2021-11-23,6380
004720,팜젠사이언스,2021-11-23,6380
004770,써니전자,2021-11-23,6380
004780,대륙제관,2021-11-23,5806
004800,효성,2021-11-23,6380
004830,덕성,2021-11-23,6380
004840,DRB동일,2021-11-23,6380
004870,티웨이홀딩스,2021-11-23,6380
004890,동일산업,2021-11-23,4055
004910,조광페인트,2021-11-23,6380
004920,씨아이테크,2021-11-23,6380
004960,한신공영,2021-11-23,6380
004970,신라교역,2021-11-23,6380
004980,성신양회,2021-11-23,6380
004990,롯데지주,2021-11-23,6380
005010,휴스틸,2021-11-23,6380
005030,부산주공,2021-11-23,6380
005070,코스모신소재,2021-11-23,6380
005090,SGC에너지,2021-11-23,6380
005110,한창,2021-11-23,6380
005160,동국산업,2021-11-23,5499
005180,빙그레,2021-11-23,6380
005250,녹십자홀딩스,2021-11-23,6380
005290,동진쎄미켐,2021-11-23,5377
005300,롯데칠성음료,2021-11-23,6380
005320,국동,2021-11-23,6231
005360,모나미,2021-11-23,6380
005380,현대자동차,2021-11-23,6381
005390,신성통상,2021-11-23,6380
005420,코스모화학,2021-11-23,6380
005430,한국공항,2021-11-23,6380
005440,현대그린푸드,2021-11-23,6380
005490,포스코,2021-11-23,6380
005500,삼진제약,2021-11-23,6380
005610,SPC삼립,2021-11-23,6380
005670,푸드웰,2021-11-23,5804
005680,삼영전자공업,2021-11-23,6380
005690,파미셀,2021-11-23,6380
005710,대원산업,2021-11-23,5805
005720,넥센,2021-11-23,6380
005740,크라운해태홀딩스,2021-11-23,6380
005750,대림비앤코,2021-11-23,6380
005800,신영와코루,2021-11-23,6380
005810,풍산홀딩스,2021-11-23,6380
005820,원림,2021-11-23,6380
005830,DB손해보험,2021-11-23,6378
005850,에스엘,2021-11-23,6380
005860,한일사료,2021-11-23,5803
005870,휴니드테크놀러지스,2021-11-23,6380
005880,대한해운,2021-11-23,6380
005930,삼성전자,2021-11-23,6381
005940,NH투자증권,2021-11-23,6380
005950,이수화학,2021-11-23,6380
005960,동부건설,2021-11-23,6380
005990,매일홀딩스,2021-11-23,5529
006040,동원산업,2021-11-23,6380
006050,국영지앤엠,2021-11-23,5804
006060,화승인더스트리,2021-11-23,6380
006090,사조오양,2021-11-23,6380
006110,삼아알미늄,2021-11-23,6380
006120,SK디스커버리,2021-11-23,6380
006140,피제이전자,2021-11-23,5803
006200,한국전자홀딩스,2021-11-23,6380
006220,제주은행,2021-11-23,6380
006260,LS,2021-11-23,6380
006280,녹십자,2021-11-23,6380
006340,대원전선,2021-11-23,6380
006360,GS건설,2021-11-23,6380
006370,대구백화점,2021-11-23,6380
006380,카프로,2021-11-23,6380
006390,한일현대시멘트,2021-11-23,6380
006400,삼성SDI,2021-11-23,6380
006490,인스코비,2021-11-23,6380
006570,대림통상,2021-11-23,6380
006580,대양제지,2021-11-23,5803
006620,동구바이오제약,2021-11-23,929
006650,대한유화,2021-11-23,5493
006660,삼성공조,2021-11-23,6380
006730,서부T&D,2021-11-23,5805
006740,영풍제지,2021-11-23,6374
006800,미래에셋증권,2021-11-23,6380
006840,AK홀딩스,2021-11-23,5494
006880,신송홀딩스,2021-11-23,1965
006890,태경케미컬,2021-11-23,5803
006910,보성파워텍,2021-11-23,5802
006920,모헨즈,2021-11-23,5803
006980,우성,2021-11-23,6380
007070,GS리테일,2021-11-23,2438
007110,일신석재,2021-11-23,6380
007120,미래아이앤지,2021-11-23,5804
007160,사조산업,2021-11-23,6380
007210,벽산,2021-11-23,6380
007280,한국특강,2021-11-23,6380
007310,오뚜기,2021-11-23,6380
007330,푸른저축은행,2021-11-23,5803
007340,디티알오토모티브,2021-11-23,6380
007370,진양제약,2021-11-23,5264
007390,네이처셀,2021-11-23,5804
007460,에이프로젠 MED,2021-11-23,6380
007530,영신금속,2021-11-23,5802
007540,샘표,2021-11-23,6380
007570,일양약품,2021-11-23,6380
007590,동방아그로,2021-11-23,6380
007610,선도전기,2021-11-23,6380
007630,폴루스바이오팜,2021-11-23,6379
007660,이수페타시스,2021-11-23,5247
007680,대원,2021-11-23,978
007690,국도화학,2021-11-23,6380
007700,F&F 홀딩스,2021-11-23,6380
007720,대명소노시즌,2021-11-23,5787
007770,한일화학,2021-11-23,5800
007810,코리아써키트,2021-11-23,6380
007820,에스엠코어,2021-11-23,2472
007860,서연,2021-11-23,6380
007980,태평양물산,2021-11-23,6380
008040,사조동아원,2021-11-23,6380
008060,대덕,2021-11-23,6380
008110,대동전자,2021-11-23,6380
008250,이건산업,2021-11-23,6380
008260,NI스틸,2021-11-23,6379
008290,원풍물산,2021-11-23,5805
008350,남선알미늄,2021-11-23,6380
008370,원풍,2021-11-23,5802
008420,문배철강,2021-11-23,6379
008470,부스타,2021-11-23,2647
008490,서흥,2021-11-23,6380
008500,일정실업,2021-11-23,6380
008560,메리츠증권,2021-11-23,6380
008600,윌비스,2021-11-23,6380
008700,아남전자,2021-11-23,6380
008730,율촌화학,2021-11-23,6380
008770,호텔신라,2021-11-23,6380
008830,대동기어,2021-11-23,5804
008870,금비,2021-11-23,6380
008930,한미사이언스,2021-11-23,6380
008970,동양철관,2021-11-23,6380
009070,케이씨티시,2021-11-23,6380
009140,경인전자,2021-11-23,6380
009150,삼성전기,2021-11-23,6380
009160,SIMPAC,2021-11-23,6380
009180,한솔로지스틱스,2021-11-23,6378
009190,대양금속,2021-11-23,6378
009200,무림페이퍼,2021-11-23,6380
009240,한샘,2021-11-23,4786
009270,신원,2021-11-23,6380
009290,광동제약,2021-11-23,6380
009300,삼아제약,2021-11-23,5270
009310,참엔지니어링,2021-11-23,6380
009320,대우부품,2021-11-23,6380
009410,태영건설,2021-11-23,6380
009420,한올바이오파마,2021-11-23,6380
009440,KC그린홀딩스,2021-11-23,6380
009450,경동나비엔,2021-11-23,6380
009460,한창제지,2021-11-23,6380
009470,삼화전기,2021-11-23,6380
009520,포스코엠텍,2021-11-23,5806
009540,한국조선해양,2021-11-23,5485
009580,무림P&P,2021-11-23,6380
009620,삼보산업,2021-11-23,5799
009680,모토닉,2021-11-23,6380
009730,코센,2021-11-23,5804
009770,삼정펄프,2021-11-23,3731
009780,엠에스씨,2021-11-23,5803
009810,플레이그램,2021-11-23,6380
009830,한화솔루션,2021-11-23,6380
009900,명신산업,2021-11-23,238
009970,영원무역홀딩스,2021-11-23,6380
010040,한국내화,2021-11-23,5805
010050,우리종금,2021-11-23,6380
010060,OCI,2021-11-23,6380
010100,한국프랜지공업,2021-11-23,6380
010120,엘에스일렉트릭,2021-11-23,6354
010130,고려아연,2021-11-23,6354
010140,삼성중공업,2021-11-23,6354
010170,대한광통신,2021-11-23,5802
010240,흥국,2021-11-23,3098
010280,쌍용정보통신,2021-11-23,5320
010400,우진아이엔에스,2021-11-23,785
010420,한솔피엔에스,2021-11-23,6354
010470,오리콤,2021-11-23,5206
010580,지코,2021-11-23,6354
010600,웰바이오텍,2021-11-23,6119
010620,현대미포조선,2021-11-23,6354
010640,진양폴리우레탄,2021-11-23,6354
010660,화천기계,2021-11-23,6354
010690,화신,2021-11-23,6354
010770,평화홀딩스,2021-11-23,6352
010780,아이에스동서,2021-11-23,6353
010820,퍼스텍,2021-11-23,6354
